"rgn_id","habitat","km2"
3,"coral",863.645
4,"coral",863.645
2,"coral",863.645
1,"coral",863.645
3,"mangrove",576.345
4,"mangrove",576.345
2,"mangrove",576.345
1,"mangrove",576.345
3,"mangrove_inland1km",174.65
4,"mangrove_inland1km",174.65
2,"mangrove_inland1km",174.65
1,"mangrove_inland1km",174.65
3,"mangrove_offshore1km",99.5506
4,"mangrove_offshore1km",99.5506
2,"mangrove_offshore1km",99.5506
1,"mangrove_offshore1km",99.5506
3,"rocky_reef",8685.35
4,"rocky_reef",8685.35
2,"rocky_reef",8685.35
1,"rocky_reef",8685.35
3,"seagrass",4739.13
4,"seagrass",4739.13
2,"seagrass",4739.13
1,"seagrass",4739.13
3,"soft_bottom",1486.27
4,"soft_bottom",1486.27
2,"soft_bottom",1486.27
1,"soft_bottom",1486.27
