"cntry_key","sector","year","value"
"BLZ","aqf",2004,162956.120092864
"BLZ","aqf",2005,166249.999999552
"BLZ","aqf",2006,86451.8918918368
"BLZ","aqf",2007,191259.726603008
"BLZ","aqf",2008,198581.560283456
"BLZ","aqf",2009,186592
"BLZ","cf",2002,48062336
"BLZ","cf",2007,93089505.4544
"BLZ","mar",2002,59359999.9947
"BLZ","mar",2007,54922712.9325
"BLZ","mmw",1998,491869.92
"BLZ","mmw",2006,197154.47
"BLZ","og",2004,0
"BLZ","og",2005,0
"BLZ","og",2006,0
"BLZ","og",2007,0
"BLZ","og",2008,0
"BLZ","og",2009,0
"BLZ","tour",2007,331041628.485
"BLZ","tour",2008,328504911.025
"BLZ","tour",2009,318358041.186
"BLZ","tour",2010,312650426.902
"BLZ","tour",2011,4.85e+08
"BLZ","tour",2012,5.2e+08
