"sector","year","value","cntry_key"
"cf",1993,307.699285001836,"BLZ"
"cf",1994,1764.80128622463,"BLZ"
"cf",1995,13353.3876424502,"BLZ"
"cf",1996,11813.2383341124,"BLZ"
"cf",1997,5727.02852341525,"BLZ"
"cf",1998,18179.6203787171,"BLZ"
"cf",1999,7126.71047982325,"BLZ"
"cf",2000,11031.8346035204,"BLZ"
"cf",2001,6609.97725049316,"BLZ"
"cf",2002,12726.695068881,"BLZ"
"cf",2003,11583.140623377,"BLZ"
"cf",2004,12489.8486475419,"BLZ"
"cf",2005,14241.2480802617,"BLZ"
"cf",2006,15037.7876431334,"BLZ"
"cf",2007,20107.7177081816,"BLZ"
"cf",2008,18329.5326921222,"BLZ"
"ph",1993,950.154535451168,"BLZ"
"ph",1995,20720.4105272139,"BLZ"
"ph",1996,12755.7341485961,"BLZ"
"ph",1997,8624.89704509358,"BLZ"
"ph",1998,9060.24837222196,"BLZ"
"ph",1999,7922.65137023056,"BLZ"
"ph",2000,8791.56898433328,"BLZ"
"ph",2001,2827.82171328924,"BLZ"
"ph",2002,9756.34169122482,"BLZ"
"ph",2003,10516.3787050143,"BLZ"
"ph",2004,11934.8592592688,"BLZ"
"ph",2005,14795.1944465311,"BLZ"
"ph",2006,14750.557971929,"BLZ"
"ph",2007,24106.8600367503,"BLZ"
"ph",2008,22049.7045055074,"BLZ"
"sb",1995,5435.47940593839,"BLZ"
"sb",1996,6168.78029152199,"BLZ"
"sb",1997,13848.2443437278,"BLZ"
"sb",1998,9573.48096653718,"BLZ"
"sb",1999,6783.86978772517,"BLZ"
"sb",2000,8782.85460247196,"BLZ"
"sb",2001,5827.38184045863,"BLZ"
"sb",2002,9807.75064361184,"BLZ"
"sb",2003,15699.3051605784,"BLZ"
"sb",2004,17284.538510698,"BLZ"
"sb",2005,18640.9044075556,"BLZ"
"sb",2006,15335.9800914468,"BLZ"
"sb",2007,25412.1933003159,"BLZ"
"sb",2008,22817.6921616253,"BLZ"
"tour",1993,2297.5337362697,"BLZ"
"tour",1995,24891.663336686,"BLZ"
"tour",1996,13596.7239299148,"BLZ"
"tour",1997,14330.8592117372,"BLZ"
"tour",1998,7971.70542855547,"BLZ"
"tour",1999,5755.17111946326,"BLZ"
"tour",2000,12260.3629529759,"BLZ"
"tour",2001,12245.6225022331,"BLZ"
"tour",2002,23328.0018180378,"BLZ"
"tour",2003,36077.4793587191,"BLZ"
"tour",2004,43598.7594351809,"BLZ"
"tour",2005,42091.2616008821,"BLZ"
"tour",2006,41028.7732616109,"BLZ"
"tour",2007,55518.9239878084,"BLZ"
"tour",2008,47508.9571671155,"BLZ"
"tran",1993,5741.35865648927,"BLZ"
"tran",1995,12869.8449202752,"BLZ"
"tran",1996,7719.09425740907,"BLZ"
"tran",1997,18638.9669825888,"BLZ"
"tran",1998,20849.2842671539,"BLZ"
"tran",1999,21139.6360565794,"BLZ"
"tran",2000,16937.6097241698,"BLZ"
"tran",2001,14869.3090763403,"BLZ"
"tran",2002,35458.5709415157,"BLZ"
"tran",2003,44067.6679366674,"BLZ"
"tran",2004,48492.7670361989,"BLZ"
"tran",2005,51296.6939300593,"BLZ"
"tran",2006,72418.4251527988,"BLZ"
"tran",2007,110417.855066504,"BLZ"
"tran",2008,94824.2392689414,"BLZ"
