"rgn_id","year","area_km2"
3,1976,2
4,1976,2
2,1976,2
1,1976,2
3,1987,7
4,1987,7
2,1987,7
1,1987,7
3,1989,3
4,1989,3
2,1989,3
1,1989,3
3,1992,7
4,1992,7
2,1992,7
1,1992,7
3,1993,3
4,1993,3
2,1993,3
1,1993,3
3,1994,32
4,1994,32
2,1994,32
1,1994,32
3,1996,72
4,1996,72
2,1996,72
1,1996,72
3,1998,109
4,1998,109
2,1998,109
1,1998,109
3,2000,51
4,2000,51
2,2000,51
1,2000,51
3,2001,3
4,2001,3
2,2001,3
1,2001,3
3,2002,19
4,2002,19
2,2002,19
1,2002,19
3,2005,4
4,2005,4
2,2005,4
1,2005,4
3,2007,1
4,2007,1
2,2007,1
1,2007,1
3,2009,1
4,2009,1
2,2009,1
1,2009,1
3,2010,5
4,2010,5
2,2010,5
1,2010,5
