"rgn_id","product","year","usd"
3,"ornamentals",1995,38.3333333333333
4,"ornamentals",1995,38.3333333333333
2,"ornamentals",1995,38.3333333333333
1,"ornamentals",1995,38.3333333333333
3,"ornamentals",1996,28.75
4,"ornamentals",1996,28.75
2,"ornamentals",1996,28.75
1,"ornamentals",1996,28.75
3,"ornamentals",1997,20.75
4,"ornamentals",1997,20.75
2,"ornamentals",1997,20.75
1,"ornamentals",1997,20.75
3,"ornamentals",1998,22.5
4,"ornamentals",1998,22.5
2,"ornamentals",1998,22.5
1,"ornamentals",1998,22.5
3,"ornamentals",1999,15.75
4,"ornamentals",1999,15.75
2,"ornamentals",1999,15.75
1,"ornamentals",1999,15.75
3,"ornamentals",2000,21.5
4,"ornamentals",2000,21.5
2,"ornamentals",2000,21.5
1,"ornamentals",2000,21.5
3,"ornamentals",2001,32.5
4,"ornamentals",2001,32.5
2,"ornamentals",2001,32.5
1,"ornamentals",2001,32.5
3,"ornamentals",2002,44.25
4,"ornamentals",2002,44.25
2,"ornamentals",2002,44.25
1,"ornamentals",2002,44.25
3,"ornamentals",2003,63
4,"ornamentals",2003,63
2,"ornamentals",2003,63
1,"ornamentals",2003,63
3,"ornamentals",2004,70
4,"ornamentals",2004,70
2,"ornamentals",2004,70
1,"ornamentals",2004,70
3,"ornamentals",2005,88
4,"ornamentals",2005,88
2,"ornamentals",2005,88
1,"ornamentals",2005,88
3,"ornamentals",2006,96.75
4,"ornamentals",2006,96.75
2,"ornamentals",2006,96.75
1,"ornamentals",2006,96.75
3,"ornamentals",2007,102.75
4,"ornamentals",2007,102.75
2,"ornamentals",2007,102.75
1,"ornamentals",2007,102.75
3,"ornamentals",2008,111
4,"ornamentals",2008,111
2,"ornamentals",2008,111
1,"ornamentals",2008,111
3,"ornamentals",2009,112
4,"ornamentals",2009,112
2,"ornamentals",2009,112
1,"ornamentals",2009,112
3,"ornamentals",2010,107.666666666667
4,"ornamentals",2010,107.666666666667
2,"ornamentals",2010,107.666666666667
1,"ornamentals",2010,107.666666666667
3,"ornamentals",2011,102
4,"ornamentals",2011,102
2,"ornamentals",2011,102
1,"ornamentals",2011,102
